num_vars,seed,true_edges,edge_density,max_eigenvalue_real,DirectSF2M_AUROC,DirectSF2M_AUPRC,DirectSF2M_training_time,DirectSF2M_num_true_edges,hparam_n_steps,hparam_batch_size,hparam_reg,hparam_alpha,hparam_lr,hparam_knockout_hidden,config_id,experiment_id,total_experiments
10,165,27,0.27,0.9963180699495502,0.7158802638254693,0.5529600303674378,16.816755771636963,27,2000,128,1e-05,0.1,0.003,256,123,372,648
10,962,25,0.25,0.7146712559397453,0.7538666666666667,0.5168693016146766,11.667501211166382,25,2000,128,1e-05,0.1,0.005,128,124,373,648
10,283,27,0.27,0.9467484666911842,0.8866057838660579,0.7155581765274159,11.901057004928589,27,2000,128,1e-05,0.1,0.005,128,124,374,648
10,165,27,0.27,0.9963180699495502,0.9117199391171994,0.764105806222469,11.625899076461792,27,2000,128,1e-05,0.1,0.005,128,124,375,648
10,962,25,0.25,0.7146712559397453,0.8210666666666667,0.6390102596247129,16.64933204650879,25,2000,128,1e-05,0.1,0.005,256,125,376,648
10,283,27,0.27,0.9467484666911842,0.8726534753932015,0.724181945825451,18.54957604408264,27,2000,128,1e-05,0.1,0.005,256,125,377,648
10,165,27,0.27,0.9963180699495502,0.7610350076103501,0.6530987580241128,17.176918983459473,27,2000,128,1e-05,0.1,0.005,256,125,378,648
10,962,25,0.25,0.7146712559397453,0.4666666666666667,0.2658231292517007,12.303853034973145,25,2000,128,1e-05,0.3,0.001,128,126,379,648
10,283,27,0.27,0.9467484666911842,0.6202435312024352,0.4256771121499804,12.046835899353027,27,2000,128,1e-05,0.3,0.001,128,126,380,648
10,165,27,0.27,0.9963180699495502,0.563165905631659,0.39524524524524524,13.028878211975098,27,2000,128,1e-05,0.3,0.001,128,126,381,648
10,962,25,0.25,0.7146712559397453,0.5109333333333332,0.2993180965376087,17.551838874816895,25,2000,128,1e-05,0.3,0.001,256,127,382,648
10,283,27,0.27,0.9467484666911842,0.6692034500253679,0.4354792121458788,17.957773208618164,27,2000,128,1e-05,0.3,0.001,256,127,383,648
